new,old
Austria Lustenau,Austria Lustenau
Altach,Cashpoint SC Rheindorf Altach
RB Salzburg,Salzburg
RB Salzburg,FC Salzburg
Austria Wien,FK Austria Vienna
Hartberg,Hartberg
LASK,LASK Linz
Rapid Wien,Rapid Vienna
Austria Klagenfurt,SK Austria Klagenfurt
SK Sturm Graz,SK Sturm Graz
Ried,SV Ried
WSG Tirol,WSG Swarovski Wattens
Wolfsberger,Wolfsberger AC
Anderlecht,Anderlecht
Antwerp,Royal Antwerp
Antwerp,Antwerp
Cercle Brugge,Cercle Brugge KSV
Cercle Brugge,Cercle Brugge
Club Brugge,Club Brugge
Eupen,Eupen
Genk,Genk
Gent,Gent
Gent,KAA Gent
Gent,AA Gent
Kortrijk,KV Kortrijk
Mechelen,KV Mechelen
Oostende,KV Oostende
Oostende,Oostende
Westerlo,KVC Westerlo
Westerlo,Westerlo
Oud-Heverlee Leuven,Leuven
Oud-Heverlee Leuven,OH Leuven
RFC Seraing,RFC Seraing
RFC Seraing,Seraing United
Zulte Waregem,SV Zulte-Waregem
Zulte Waregem,SV Zulte Waregem
Charleroi,Charleroi
Charleroi,Sporting de Charleroi
STVV,St. Truidense
STVV,Sint Truiden
Standard,Standard Liege
Union Saint-Gilloise,Union Saint-Gilloise
Union Saint-Gilloise,Union Saint Gilloise
Horsens,AC Horsens
AGF,AGF Aarhus
AaB,AaB
Brøndby,Brondby IF
Brøndby,Brondby
Copenhagen,FC Copenhagen
Midtjylland,FC Midtjylland
Nordsjælland,FC Nordsjaelland
Lyngby,Lyngby
OB,Odense BK
OB,OB Odense BK
Randers,Randers FC
Silkeborg,Silkeborg IF
Silkeborg,Silkeborg
Viborg,Viborg
Viborg,Viborg FF
Ajaccio,AC Ajaccio
Monaco,AS Monaco
Angers,Angers
Auxerre,Auxerre
Brest,Brest
Clermont Foot,Clermont Foot
Clermont Foot,Clermont
Lens,RC Lens
Lens,Lens
LOSC,Lille
Lorient,Lorient
Lyon,Lyon
Marseille,Marseille
Montpellier,Montpellier
Nantes,Nantes
Nice,Nice
PSG,Paris Saint-Germain
PSG,Paris Saint Germain
Reims,Stade de Reims
Reims,Reims
Rennes,Stade Rennes
Rennes,Rennes
Strasbourg,Strasbourg
Toulouse,Toulouse
Troyes,Troyes
Amiens SC,Amiens
Annecy,Annecy
Annecy,Annecy FC
Bastia,Bastia
Bastia,SC Bastia
Bordeaux,Bordeaux
Caen,SM Caen
Caen,Caen
Dijon,Dijon FCO
Grenoble Foot 38,Grenoble
Guingamp,EA Guingamp
Guingamp,Guingamp
Stade Laval,Stade Lavallois
Stade Laval,Laval
Le Havre,Le Havre
Metz,Metz
Nîmes,Nîmes Olympique
Nîmes,Nimes
Niort,Niort
Paris FC,Paris FC
Pau,Pau
Pau,Pau FC
Rodez,Rodez
Rodez,Rodez AF
Sochaux,Sochaux
St-Étienne,Saint Etienne
St-Étienne,St Etienne
Quevilly-Rouen,US Quevilly
Quevilly-Rouen,US Quevilly-Rouen
Valenciennes,Valenciennes
Union Berlin,Union Berlin
Union Berlin,1. FC Union Berlin
Leverkusen,Bayer Leverkusen
Leverkusen,Leverkusen
Bayern,Bayern Munich
Bayerm,Bayern München
Dortmund,Borussia Dortmund
Mönchengladbach,Borussia Monchengladbach
Eintracht Frankfurt,Eintracht Frankfurt
Augsburg,FC Augsburg
Augsburg,Augsburg
Köln,FC Cologne
Köln,FC Koln
Hertha,Hertha Berlin
Mainz,Mainz
Mainz,FSV Mainz 05
RB Leipzig,RB Leipzig
SC Freiburg,SC Freiburg
Schalke,Schalke 04
Hoffenheim,TSG Hoffenheim
VfB Stuttgart,VfB Stuttgart
VfL Bochum,VfL Bochum
Wolfsburg,VfL Wolfsburg
Werder,Werder Bremen
Heidenheim,1. FC Heidenheim 1846
Heidenheim,1. FC Heidenheim
1. FCK,1. FC Kaiserslautern
1. FC Magdeburg,1. FC Magdeburg
Nürnberg,1. FC Nürnberg
Arminia,Arminia Bielefeld
Eintracht Braunschweig,Eintracht Braunschweig
FC St. Pauli,FC St. Pauli
Düsseldorf,Fortuna Düsseldorf
Hamburger SV,Hamburger SV
Hamburger SV,Hamburg SV
Hannover 96,Hannover 96
Hansa,Hansa Rostock
Holstein Kiel,Holstein Kiel
Jahn Regensburg,Jahn Regensburg
Karlsruher,Karlsruher SC
Paderborn,SC Paderborn
Darmstadt,SV Darmstadt 98
Darmstadt,Darmstadt 98
Sandhausen,SV Sandhausen
Fürth,Greuther Fürth
Fürth,SpVgg Greuther Fürth
AZ Alkmaar,AZ Alkmaar
AZ Alkmaar,AZ
Ajax,Ajax
Ajax,AFC Ajax
Cambuur,Cambuur Leeuwarden
Cambuur,SC Cambuur
FC Emmen,FC Emmen
FC Emmen,Emmen
Excelsior,Excelsior
Groningen,FC Groningen
Groningen,Groningen
Twente,FC Twente Enschede
Twente,FC Twente
Utrecht,FC Utrecht
Volendam,FC Volendam
Feyenoord,Feyenoord
Fortuna Sittard,Fortuna Sittard
Go Ahead Eagles,Go Ahead Eagles
Heerenveen,Heerenveen
NEC,NEC
NEC,NEC Nijmegen
PSV,PSV
PSV,PSV Eindhoven
RKC Waalwijk,RKC
RKC Waalwijk,RKC Waalwijk
Sparta Rotterdam,Sparta Rotterdam
Sparta Rotterdam,Sparta
Vitesse,Vitesse
Vitesse,Vitesse Arnhem
Milan,AC Milan
Roma,AS Roma
Roma,Roma
Atalanta,Atalanta BC
Atalanta,Atalanta
Bologna,Bologna
Cremonese,Cremonese
Empoli,Empoli
Fiorentina,Fiorentina
Inter,Internazionale Milano
Inter,Internazionale
Inter,Inter Milan
Juventus,Juventus
Lazio,Lazio
Lecce,Lecce
Monza,Monza
Napoli,Napoli
Salernitana,Salernitana
Sampdoria,Sampdoria
Sassuolo,Sassuolo
Spezia,Spezia
Torino,Torino
Udinese,Udinese
Verona,Hellas Verona FC
Verona,Verona
Ascoli,Ascoli
Bari,Bari
Benevento,Benevento
Brescia,Brescia
Cagliari,Cagliari
Cittadella,Cittadella
Como,Como
Cosenza,Cosenza
Venezia,Venezia
Venezia,F.B.C Unione Venezia
Frosinone,Frosinone
Genoa,Genoa
Modena,Modena
Palermo,Palermo
Parma,Parma
Perugia,Perugia
Pisa,Pisa
Reggina,Reggina
SPAL,Spal
SPAL,SPAL
Südtirol,Südtirol
Südtirol,Sudtirol
Ternana,Ternana
Aalesund,Aalesund
Bodø/Glimt,Bodo/Glimt
Bodø/Glimt,Bodø/Glimt
Bodø/Glimt,FK Bodø/Glimt
Jerv,FK Jerv
HamKam,HamKam
HamKam,Hamarkamaratene
Haugesund,Haugesund
Kristiansund,Kristiansund BK
Lillestrom,Lillestrom
Molde,Molde
Odd,Odds BK
Odd,Odd BK
Rosenborg,Rosenborg
Sandefjord,Sandefjord
Sarpsborg,Sarpsborg FK
Sarpsborg,Sarpsborg
Strømsgodset,Stromsgodset
Tromso,Tromso
Vålerenga,Valerenga
Vålerenga,Vålerenga
Viking,Viking FK
Brann,SK Brann
Stabæk,Stabaek
Halmstad,Halmstads BK
Benfica,Benfica
Boavista,Boavista Porto
Boavista,Boavista
Braga,Braga
Casa Pia,Casa Pia
Chaves,Chaves
Estoril Praia,Estoril
Estoril Praia,Estoril Praia
Arouca,FC Arouca
Arouca,Arouca
Porto,FC Porto
Porto,Porto
Famalicão,Famalicão
Famalicão,Famalicao
Gil Vicente,Gil Vicente
Vitória SC,Vitória SC
Vitória SC,Guimaraes
Marítimo,Maritimo
Marítimo,CS Maritimo
Paços de Ferreira,Pacos Ferreira
Paços de Ferreira,Pacos de Ferreira
Portimonense,Portimonense
Rio Ave,Rio Ave
Rio Ave,Rio Ave FC
Santa Clara,Santa Clara
Sporting,Sporting CP
Sporting,Sporting Lisbon
Vizela,Vizela
CSKA Moscow,CSKA Moscow
Dynamo Moscow,Dinamo Moscow
Khimki,FC Khimki
Krasnodar,FC Krasnodar
Nizhny Novgorod,FK Nizhny Novgorod
Fakel,Fakel Voronezh
Orenburg,Gazovik Orenburg
Krylya Sovetov,Krylia Sovetov
Lokomotiv Moscow,Lokomotiv Moscow
FC Rostov,Rostov
PFC Sochi,Sochi
Spartak Moscow,Spartak Moscow
Akhmat Grozny,Terek Grozny
Torpedo Moskow,Torpedo Moskow
Ural,Ural Sverdlovsk Oblast
Zenit,Zenit St Petersburg
Almería,Almería
Almería,Almeria
Athletic Bilbao,Athletic Bilbao
Atlético Madrid,Atletico Madrid
Atlético Madrid,Atlético Madrid
Barcelona,Barcelona
Barcelona,FC Barcelona
Cádiz,Cadiz
Cádiz,Cádiz CF
Celta Vigo,Celta Vigo
Elche,Elche
Elche,Elche CF
Espanyol,Espanyol
Getafe,Getafe
Girona,Girona FC
Girona,Girona
Mallorca,Mallorca
Osasuna,Osasuna
Osasuna,CA Osasuna
Rayo Vallecano,Rayo Vallecano
Real Betis,Real Betis
Real Madrid,Real Madrid
Real Sociedad,Real Sociedad
Valladolid,Real Valladolid
Valladolid,Valladolid
Sevilla,Sevilla
Sevilla,Sevilla FC
Valencia,Valencia
Villarreal,Villarreal
Alavés,Alavés
Albacete,Albacete
Burgos,Burgos
Burgos,Burgos CF
Eibar,Eibar
Eibar,SD Eibar
Andorra,FC Andorra
Andorra,Andorra CF
FC Cartagena,FC Cartagena
Granada,Granada
Granada,Granada CF
Las Palmas,Las Palmas
Leganés,Leganés
Leganés,Leganes
Levante,Levante
Lugo,Lugo
CD Mirandés,Mirandes
CD Mirandés,CD Mirandés
Málaga,Málaga
Racing,Racing Santander
Racing,Real Racing Club de Santander
Oviedo,Real Oviedo
Oviedo,Oviedo
Zaragoza,Real Zaragoza
Zaragoza,Zaragoza
Huesca,SD Huesca
Ponferradina,SD Ponferradina
Sporting Gijón,Sporting Gijón
Tenerife,Tenerife
Ibiza,UD Ibiza
Villarreal,Villarreal B
AIK,AIK
Häcken,BK Hacken
Degerfors,Degerfors IF
Djurgårdens,Djurgårdens IF
Djurgårdens,Djurgardens IF
Sundsvall,GIF Sundsvall
Hammarby,Hammarby
Hammarby,Hammarby IF
Helsingborgs,Helsingborgs IF
Elfsborg,IF Elfsborg
Göteborg,IFK Goteborg
Norrköping,IFK Norrkoping
Värnamo,IFK Värnamo
Sirius,IK Sirius
Kalmar,Kalmar FF
Malmö FF,Malmo FF
Mjällby,Mjallby
Mjällby,Mjällby AIF
Varbergs BoIS,Varbergs BoIS FC
Varbergs BoIS,Varbergs BoIS
Brommapojkarna,IF Brommapojkarna
Basel,Basel
Basel,FC Basel
Lugano,FC Lugano
Luzern,FC Luzern
Sion,FC Sion
FC Zurich,FC Zurich
Grasshoppers,Grasshoppers Zürich
Grasshoppers,Grasshopper Zürich
Servette,Servette
St. Gallen,St Gallen
St. Gallen,FC St Gallen
Winterthur,Winterthur
Winterthur,FC Winterthur
Young Boys,BSC Young Boys
Young Boys,Young Boys
Adana Demirspor,Adana Demirspor
Alanyaspor,Alanyaspor
Ankaragücü,Ankaragucu
Ankaragücü,Ankaragücü
Antalyaspor,Antalyaspor
Beşiktaş,Besiktas JK
Beşiktaş,Besiktas
Fatih Karagümrük,Fatih Karagümrük
Fenerbahçe,Fenerbahce
Galatasaray,Galatasaray
Gaziantep,Gazişehir Gaziantep
Gaziantep,Gazisehir Gaziantep
Giresunspor,Giresunspor
Hatayspor,Hatayspor
İstanbul Başakşehir,Istanbul Basaksehir
İstanbul Başakşehir,Basaksehir
İstanbulspor,Istanbulspor
Kasımpaşa,Kasimpasa
Kasımpaşa,Kasimpasa SK
Kayserispor,Kayserispor
Konyaspor,Konyaspor
Konyaspor,Torku Konyaspor
Sivasspor,Sivasspor
Trabzonspor,Trabzonspor
Ümraniyespor,Ümraniyespor
Ümraniyespor,Umraniyespor
AEK Athens,AEK Athens
Aris,Aris Salonika
Asteras Tripolis,Asteras Tripolis
Atromitos,Atromitos
Giannina,Giannina
Ionikos,Ionikos FC
Lamia,Lamia
Levadiakos,Levadiakos
OFI,OFI Crete
Olympiacos,Olympiacos
PAOK,PAOK Salonika
Panathinaikos,Panathinaikos
Panetolikos,Panetolikos
Volos,Volos NFC
Avispa Fukuoka,Avispa Fukuoka
Cerezo Osaka,Cerezo Osaka
Consadole Sapporo,Consadole Sapporo
FC Tokyo,FC Tokyo
Gamba Osaka,Gamba Osaka
Jubilo Iwata,Jubilo Iwata
Kashima Antlers,Kashima Antlers
Kashiwa Reysol,Kashiwa Reysol
Kawasaki Frontale,Kawasaki Frontale
Kyoto Sanga,Kyoto Purple Sanga
Nagoya Grampus,Nagoya Grampus Eight
Sagan Tosu,Sagan Tosu
Sanfrecce Hiroshima,Sanfrecce Hiroshima
Shimizu S-Pulse,Shimizu S-Pulse
Shonan Bellmare,Shonan Bellmare
Urawa Red Diamonds,Urawa Red Diamonds
Vissel Kobe,Vissel Kobe
Yokohama F. Marinos,Yokohama F. Marinos
Adelaide United,Adelaide United
Brisbane Roar,Brisbane Roar
Central Coast Mariners,Central Coast Mariners
Macarthur,Macarthur FC
Melbourne City FC,Melbourne City
Melbourne Victory,Melbourne Victory
Newcastle Jets,Newcastle Jets
Newcastle Jets,Newcastle Jets FC
Perth Glory,Perth Glory
Sydney FC,Sydney FC
Wellington Phoenix,Wellington Phoenix FC
Wellington Phoenix,Wellington Phoenix
Western Sydney Wanderers,Western Sydney FC
Western Sydney Wanderers,Western Sydney Wanderers
Western United,Western United FC
Western United,Western United
Atlanta United,Atlanta United FC
Austin,Austin FC
Charlotte,Charlotte FC
Chicago Fire,Chicago Fire
Colorado Rapids,Colorado Rapids
Columbus Crew,Columbus Crew
DC United,DC United
Cincinnati,FC Cincinnati
Dallas,FC Dallas
Houston Dynamo,Houston Dynamo
Inter Miami,Inter Miami CF
LAFC,Los Angeles FC
LA Galaxy,Los Angeles Galaxy
Minnesota United,Minnesota United FC
Montreal Impact,Montreal Impact
Nashville,Nashville SC
New England Revolution,New England Revolution
New York City,New York City FC
New York Red Bulls,New York Red Bulls
Orlando City,Orlando City SC
Philadelphia Union,Philadelphia Union
Portland Timbers,Portland Timbers
Real Salt Lake,Real Salt Lake
San Jose Earthquakes,San Jose Earthquakes
Seattle Sounders,Seattle Sounders FC
Sporting Kansas City,Sporting Kansas City
Toronto,Toronto FC
Vancouver Whitecaps,Vancouver Whitecaps
Atlas,Atlas
San Luis,Atlético San Luis
Club América,Club América
Club América,América
Cruz Azul,Cruz Azul
Juárez,FC Juárez
Guadalajara,Guadalajara
León,León
Mazatlán,Mazatlán FC
Monterrey,Monterrey
Necaxa,Necaxa
Pachuca,Pachuca
Puebla,Puebla
Pumas UNAM,Pumas
Pumas UNAM,Pumas Unam
Querétaro,Querétaro
Santos Laguna,Santos Laguna
Tigres UANL,Tigres UANL
Tigres UANL,Tigres
Club Tijuana,Tijuana
Toluca,Toluca
Beijing Guoan,Beijing Sinobo Guoan FC
Beijing Guoan,Beijing Guoan
Chongqing Liangjiang,Chongqing Lifan
Dalian Pro,Dalian Aerbin
Dalian Pro,Dalian Professional
Guangzhou,Guangzhou Evergrande Taobao FC
Guangzhou,Guangzhou Evergrande
Guangzhou City,Guangzhou R&F FC
Guangzhou City,Guangzhou RF
Beijing Renhe,Guizhou Renhe
Hebei CFFC,Hebei China Fortune FC
Henan Jianye,Henan Jianye
Henan Jianye,Henan Jianye FC
Jiangsu,Jiangsu Suning FC
Shandong Luneng,Shandong Luneng Taishan FC
Shandong Luneng,Shandong Luneng
Shanghai Shenhua,Shanghai Greenland
Shanghai Shenhua,Shanghai Greenland Shenhua FC
Shanghai Port,Shanghai SIPG FC
Shanghai Port,Shanghai SIPG
Shenzhen FC,Shenzhen FC
Tianjin Quanjian,Tianjin Quanujian
Tianjin Teda,Tianjin Jinmen Tiger FC
Tianjin Teda,Tianjin Teda
Wuhan Zall,Wuhan Zall
Wuhan Zall,Wuhan Yangtze River FC
Shijiazhuang Ever Bright,Cangzhou Mighty Lions
Changchun Yatai,Changchun Yatai
Chengdu Rongcheng,Chengdu Rongcheng FC
Meizhou Hakka,Meizhou Hakka
Wuhan Three Towns,Wuhan Three Towns
Hangzhou Greentown,Zhejiang
AmaZulu,AmaZulu
Black Aces,Black Aces
Chippa United,Chippa United
Golden Arrows,Golden Arrows
Kaizer Chiefs,Kaizer Chiefs
Mamelodi Sundowns,Mamelodi Sundowns
Maritzburg United,Maritzburg Utd
Swallows,Moroka Swallows
Orlando Pirates,Orlando Pirates
Richards Bay,Richards Bay
Royal AM,Royal AM
Sekhukhune United,Sekhukhune United
Stellenbosch,Stellenbosch FC
SuperSport United,SuperSport United
TS Galaxy,TS Galaxy
TTM,Tshakhuma Tsha Madzivhandila
América-MG,América Mineiro
Atletico-MG,Atletico Mineiro
Atlético-GO,Atlético Goianiense
Athletico-PR,Atlético Paranaense
Avaí,Avaí
Botafogo,Botafogo
Bragantino,Bragantino
Ceará,Ceará
Corinthians,Corinthians
Coritiba,Coritiba
Cuiabá,Cuiaba
Flamengo,Flamengo
Fluminense,Fluminense
Fortaleza,Fortaleza
Goiás,Goiás
Internacional,Internacional
Juventude,Juventude
Palmeiras,Palmeiras
Santos,Santos
São Paulo,São Paulo
Arizona United,Arizona United
Atlanta United 2,Atlanta United 2
Birmingham Legion,Birmingham Legion FC
Charleston Battery,Charleston Battery
Colorado Springs Switchbacks,Colorado Springs Switchbacks FC
Detroit City,Detroit City FC
El Paso Locomotive,El Paso Locomotive FC
Hartford Athletic,Hartford Athletic
Indy Eleven,Indy Eleven
LA Galaxy II,LA Galaxy II
Las Vegas Lights,Las Vegas Lights FC
Loudoun United,Loudoun United FC
Louisville City,Louisville City FC
Memphis 901,Memphis 901 FC
Miami,Miami FC
Monterey Bay,Monterey Bay
New Mexico United,New Mexico United
New York Red Bulls II,New York Red Bulls II
Oakland Roots,Oakland Roots
Orange County,Orange County SC
Pittsburgh Riverhounds,Pittsburgh Riverhounds
Rio Grande Valley Toros,Rio Grande Valley FC Toros
Sacramento Republic,Sacramento Republic FC
San Antonio,San Antonio FC
San Diego Loyal,San Diego Loyal SC
Tampa Bay Rowdies,Tampa Bay Rowdies
Tulsa Roughnecks,Tulsa Roughnecks
Bournemouth,AFC Bournemouth
Bournemouth,Bournemouth
Arsenal,Arsenal
Aston Villa,Aston Villa
Brentford,Brentford
Brighton,Brighton and Hove Albion
Brighton,Brighton & Hove Albion
Chelsea,Chelsea
Crystal Palace,Crystal Palace
Everton,Everton
Fulham,Fulham
Leeds United,Leeds United
Leicester City,Leicester City
Liverpool,Liverpool
Man City,Manchester City
Man United,Manchester United
Newcastle,Newcastle
Newcastle,Newcastle United
Nottm Forest,Nottingham Forest
Reading,Reading
Southampton,Southampton
Tottenham,Tottenham Hotspur
West Ham,West Ham United
Wolves,Wolverhampton Wanderers
Wolves,Wolverhampton
Birmingham,Birmingham City
Birmingham,Birmingham
Blackburn Rovers,Blackburn
Blackburn Rovers,Blackburn Rovers
Blackpool,Blackpool
Bristol City,Bristol City
Burnley,Burnley
Cardiff City,Cardiff City
Coventry,Coventry City
Huddersfield,Huddersfield Town
Hull City,Hull City
Luton Town,Luton Town
Middlesbrough,Middlesbrough
Millwall,Millwall
Norwich City,Norwich City
Preston,Preston North End
QPR,Queens Park Rangers
Rotherham,Rotherham United
Sheffield United,Sheffield United
Stoke City,Stoke City
Sunderland,Sunderland
Swansea,Swansea City
Watford,Watford
West Brom,West Bromwich
West Brom,West Bromwich Albion
Wigan,Wigan Athletic
Wigan,Wigan
Accrington Stanley,Accrington Stanley
Barnsley,Barnsley
Bolton,Bolton
Bristol Rovers,Bristol Rovers
Burton,Burton Albion
Cambridge United,Cambridge United
Charlton,Charlton Athletic
Cheltenham,Cheltenham Town
Cheltenham,Cheltenham
Derby County,Derby County
Exeter City,Exeter City
Fleetwood,Fleetwood Town
Forest Green,Forest Green Rovers
Ipswich Town,Ipswich Town
Lincoln City,Lincoln City
MK Dons,Milton Keynes Dons
Morecambe,Morecambe
Oxford Utd,Oxford United
Peterborough,Peterborough United
Plymouth,Plymouth Argyle
Port Vale,Port Vale
Portsmouth,Portsmouth
Sheffield Wednesday,Sheffield Wednesday
Shrewsbury,Shrewsbury Town
Wycombe,Wycombe Wanderers
AFC Wimbledon,AFC Wimbledon
Barrow,Barrow
Bradford City,Bradford City
Carlisle,Carlisle United
Colchester,Colchester United
Crawley Town,Crawley Town
Crewe Alexandra,Crewe Alexandra
Doncaster,Doncaster Rovers
Gillingham,Gillingham
Grimsby Town,Grimsby Town
Harrogate Town,Harrogate Town
Hartlepool,Hartlepool United
Hartlepool,Hartlepool
Leyton Orient,Leyton Orient
Mansfield Town,Mansfield Town
Newport County,Newport County
Northampton Town,Northampton Town
Rochdale,Rochdale
Salford City,Salford City
Stevenage,Stevenage
Stockport,Stockport County FC
Stockport,Stockport County
Sutton United,Sutton United
Swindon Town,Swindon Town
Tranmere,Tranmere Rovers
Walsall,Walsall
Aberdeen,Aberdeen
Celtic,Celtic
Dundee United,Dundee Utd
Dundee United,Dundee United
Hearts,Hearts
Hibernian,Hibernian
Kilmarnock,Kilmarnock
Livingston,Livingston
Motherwell,Motherwell
Rangers,Rangers
Ross County,Ross County
St. Johnstone,St Johnstone
St. Mirren,St Mirren
Aldosivi,Aldosivi
Argentinos Juniors,Argentinos Juniors
Arsenal Sarandi,Arsenal Sarandi
Atlético Tucumán,Atlético Tucumán
Banfield,Banfield
Barracas Central,Barracas Central
Boca Juniors,Boca Juniors
Independiente,CA Independiente
Central Córdoba,Central Córdoba Santiago del Estero
Colón,Colon Santa Fe
Defensa y Justicia,Defensa y Justicia
Estudiantes,Estudiantes
Gimnasia La Plata,Gimnasia La Plata
Godoy Cruz,Godoy Cruz
Huracán,Huracán
Huracán,Atlético Huracán
Lanús,Lanus
Newell's Old Boys,Newell's Old Boys
Patronato,Patronato
Platense,Platense
Racing,Racing Club
River Plate,River Plate
Rosário Central,Rosario Central
San Lorenzo,San Lorenzo
Sarmiento,Sarmiento
Talleres,Talleres de Córdoba
Tigre,Tigre
Unión Santa Fé,Union Santa Fe
Vélez Sarsfield,Velez Sarsfield
Vélez Sarsfield,Velez Sarsfield BA
Arsenal,Arsenal Women
Chelsea,Chelsea FC Women
Everton,Everton Ladies
Leicester City,Leicester City WFC
Liverpool,Liverpool Women
Man City,Manchester City Women
Man United,Manchester United Women
Tottenham,Tottenham Women
West Ham,West Ham United Ladies
Angel City,Angel City FC
Chicago Red Stars,Chicago Red Stars
Houston Dash,Houston Dash
Kansas City Current,Kansas City
North Carolina Courage,North Carolina FC
Orlando Pride,Orlando Pride
Portland Thorns,Portland Thorns
Racing Louisville,Racing Louisville FC
San Diego Wave,San Diego Wave FC
Seattle Reign,Seattle Reign FC
NJ/NY Gotham,Sky Blue FC
Washington Spirit,Washington Spirit
AEK Larnaca,AEK Larnaca
CFR Cluj,CFR Cluj
CFR Cluj,CFR 1907 Cluj
Lech Poznań,Lech Poznań
Lech Poznań,Lech Poznan
Ludogorets,Ludogorets
Partizan Belgrade,Partizan Belgrade
Partizan Belgrade,FK Partizan Belgrade
Qarabağ,Qarabağ
Qarabağ,FK Qarabag
Dnipro-1,SK Dnipro-1
Dnipro-1,SC Dnipro-1
Sheriff,Sheriff Tiraspol
Sheriff,FC Sheriff Tiraspol
Shakhtar Donetsk,Shakhtar Donetsk
Dinamo Zagreb,Dinamo Zagreb
Maccabi Haifa,Maccabi Haifa
Viktoria Plzeň,Viktoria Plzen
Apollon Limassol,Apollon Limassol
Ballkani,Ballkani
Vaduz,FC Vaduz
Hapoel Be'er Sheeva,Hapoel Be'er
Pyunik,Pyunik Yerevan
Rīgas Futbola Skola,Rigas Futbola Skola
Shamrock Rovers,Shamrock Rovers
Slavia Praha,Slavia Prague
Slovan Bratislava,Slovan Bratislava
Slovácko,Slovácko
Steaua Bucuresti,Steaua Bucuresti
Žalgiris Vilnius,Zalgiris Vilnius
Dynamo Kyiv,Dynamo Kiev
Ferencváros,Ferencvaros
HJK Helsinki,HJK Helsinki
Omonia,Omonia Nicosia
Red Star Belgrade,Red Star Belgrade